filepath,steering
dataset\2019-4-11-23-36-58 357916.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 391738.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 425229.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 459475.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 493596.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 522549.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 555548.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 590482.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 623739.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 669771.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 693031.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 724732.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 760204.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 790577.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 826823.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 856431.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 924549.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 890572.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 957948.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 996989.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 26503.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 58398.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 91657.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 124578.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 162390.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 189388.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 224258.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 256187.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 289554.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 328228.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 355001.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 389574.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 427289.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 456734.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 506400.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 522541.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 557204.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 589604.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 624108.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 662957.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 689451.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 722957.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 757840.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 789764.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 829189.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 855554.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 890640.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 924776.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 956460.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-59 993345.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 24415.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 57819.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 89258.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 122409.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 161769.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 189604.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 226368.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 255558.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 290517.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 327537.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 355535.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 388367.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 426357.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 455767.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 493794.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 522648.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 555439.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 589766.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 623690.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 659394.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 688576.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 722172.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 754609.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 790532.jpeg,-0.9800000190734863
dataset\2019-4-11-23-37-0 831096.jpeg,0.0
dataset\2019-4-11-23-37-0 856314.jpeg,0.0
dataset\2019-4-11-23-37-0 889194.jpeg,0.0
dataset\2019-4-11-23-37-10 288566.jpeg,0.0
dataset\2019-4-11-23-37-10 325747.jpeg,0.0
dataset\2019-4-11-23-37-10 356931.jpeg,0.0
dataset\2019-4-11-23-37-10 390156.jpeg,0.0
dataset\2019-4-11-23-37-10 423762.jpeg,0.0
dataset\2019-4-11-23-37-10 455837.jpeg,0.0
dataset\2019-4-11-23-37-10 492757.jpeg,0.0
dataset\2019-4-11-23-37-10 524888.jpeg,0.0
dataset\2019-4-11-23-37-10 557890.jpeg,0.0
dataset\2019-4-11-23-37-10 588866.jpeg,0.0
dataset\2019-4-11-23-37-10 623161.jpeg,0.0
dataset\2019-4-11-23-37-10 658836.jpeg,0.0
dataset\2019-4-11-23-37-10 688612.jpeg,0.0
dataset\2019-4-11-23-37-10 722058.jpeg,0.0
dataset\2019-4-11-23-37-10 756092.jpeg,0.0
dataset\2019-4-11-23-37-10 789741.jpeg,0.0
dataset\2019-4-11-23-37-10 826815.jpeg,0.0
dataset\2019-4-11-23-37-10 855998.jpeg,0.0
dataset\2019-4-11-23-37-10 890995.jpeg,0.019999999552965164
dataset\2019-4-11-23-37-10 923033.jpeg,0.07999999821186066
dataset\2019-4-11-23-37-10 963191.jpeg,0.14000000059604645
dataset\2019-4-11-23-37-11 34838.jpeg,0.23999999463558197
dataset\2019-4-11-23-37-10 998747.jpeg,0.18000000715255737
dataset\2019-4-11-23-37-11 64491.jpeg,0.30000001192092896
dataset\2019-4-11-23-37-11 94594.jpeg,0.36000001430511475
dataset\2019-4-11-23-37-11 131655.jpeg,0.41999998688697815
dataset\2019-4-11-23-37-11 167189.jpeg,0.46000000834465027
dataset\2019-4-11-23-37-11 191740.jpeg,0.5199999809265137
dataset\2019-4-11-23-37-11 231622.jpeg,0.6000000238418579
dataset\2019-4-11-23-37-11 256794.jpeg,0.6399999856948853
dataset\2019-4-11-23-37-11 293901.jpeg,0.699999988079071
dataset\2019-4-11-23-37-11 363524.jpeg,0.800000011920929
dataset\2019-4-11-23-37-11 334635.jpeg,0.7400000095367432
dataset\2019-4-11-23-37-11 402788.jpeg,0.8600000143051147
dataset\2019-4-11-23-37-11 425786.jpeg,0.9200000166893005
dataset\2019-4-11-23-37-11 457748.jpeg,0.9599999785423279
dataset\2019-4-11-23-37-11 497405.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 559266.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 525769.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 599730.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 626504.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 657570.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 687148.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 721023.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 756055.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 788497.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 831579.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 859281.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 888661.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 925902.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 954040.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-11 992366.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 23994.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 55621.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 89692.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 129152.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 162422.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 188467.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 223186.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 258511.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 292427.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 324800.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 354971.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 390887.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 426769.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 454764.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 492007.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 520482.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 553903.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 587460.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 625121.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 682027.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 691861.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 719932.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 753842.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 787209.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 825815.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 853627.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 886602.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 921189.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 955506.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-12 993641.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 21979.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 52875.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 86049.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 120712.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 157477.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 187544.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 222165.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 252196.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 287387.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 325514.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 353519.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 386435.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 421780.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 454569.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 495545.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 520761.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 554044.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 589995.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 622955.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 656389.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 688005.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 719909.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 754069.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 788464.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 824292.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 853857.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 886807.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 922805.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 957139.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-13 999518.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 57073.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 87875.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 120229.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 152970.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 186335.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 224778.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 253916.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 290990.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 322606.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 355976.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 394685.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 422178.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 455145.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 487457.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 519627.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 556246.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 586878.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 620893.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 653579.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 688560.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 724154.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 752617.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 786578.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 820158.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 852648.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 889263.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 920614.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 953593.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-14 986625.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 20369.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 57580.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 87884.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 125051.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 153797.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 193623.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 225075.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 254405.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 291310.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 326192.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 354717.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 390834.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 421545.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 453706.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 485503.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 523846.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 555580.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 585712.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 624709.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 654245.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 686490.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 722803.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 752657.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 785796.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 821970.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 853698.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 895091.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 925835.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 955013.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-15 989558.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-16 23798.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-16 57564.jpeg,0.9800000190734863
dataset\2019-4-11-23-37-16 86336.jpeg,0.0
dataset\2019-4-11-23-37-16 118810.jpeg,0.0
dataset\2019-4-11-23-37-16 952857.jpeg,0.0
dataset\2019-4-11-23-37-16 985970.jpeg,0.0
dataset\2019-4-11-23-37-17 23527.jpeg,0.0
dataset\2019-4-11-23-37-17 60517.jpeg,0.0
dataset\2019-4-11-23-37-17 86491.jpeg,0.0
dataset\2019-4-11-23-37-17 119471.jpeg,0.0
dataset\2019-4-11-23-37-17 152678.jpeg,0.0
dataset\2019-4-11-23-37-17 185705.jpeg,0.0
dataset\2019-4-11-23-37-17 225618.jpeg,0.0
dataset\2019-4-11-23-37-17 252881.jpeg,0.0
dataset\2019-4-11-23-37-17 291229.jpeg,0.0
dataset\2019-4-11-23-37-17 318653.jpeg,0.0
dataset\2019-4-11-23-37-17 354780.jpeg,0.0
dataset\2019-4-11-23-37-17 391167.jpeg,0.0
dataset\2019-4-11-23-37-17 422925.jpeg,0.0
dataset\2019-4-11-23-37-17 454445.jpeg,0.0
dataset\2019-4-11-23-37-17 485766.jpeg,0.0
dataset\2019-4-11-23-37-17 519640.jpeg,0.0
dataset\2019-4-11-23-37-17 555814.jpeg,0.0
dataset\2019-4-11-23-37-17 585122.jpeg,0.0
dataset\2019-4-11-23-37-17 620529.jpeg,0.0
dataset\2019-4-11-23-37-17 655406.jpeg,0.0
dataset\2019-4-11-23-37-17 685735.jpeg,0.0
dataset\2019-4-11-23-37-17 722131.jpeg,0.0
dataset\2019-4-11-23-37-17 752140.jpeg,0.0
dataset\2019-4-11-23-37-17 786700.jpeg,0.0
dataset\2019-4-11-23-37-17 821619.jpeg,0.0
dataset\2019-4-11-23-37-17 853580.jpeg,0.0
dataset\2019-4-11-23-37-17 889487.jpeg,0.0
dataset\2019-4-11-23-37-17 920609.jpeg,0.0
dataset\2019-4-11-23-37-17 953461.jpeg,0.0
dataset\2019-4-11-23-37-17 985749.jpeg,0.019999999552965164
dataset\2019-4-11-23-37-18 21944.jpeg,0.07999999821186066
dataset\2019-4-11-23-37-18 57965.jpeg,0.14000000059604645
dataset\2019-4-11-23-37-18 87925.jpeg,0.18000000715255737
dataset\2019-4-11-23-37-18 120743.jpeg,0.23999999463558197
dataset\2019-4-11-23-37-18 186870.jpeg,0.30000001192092896
dataset\2019-4-11-23-37-18 190874.jpeg,0.36000001430511475
dataset\2019-4-11-23-37-18 225309.jpeg,0.41999998688697815
dataset\2019-4-11-23-37-18 255796.jpeg,0.46000000834465027
dataset\2019-4-11-23-37-18 285573.jpeg,0.5400000214576721
dataset\2019-4-11-23-37-18 319711.jpeg,0.0
dataset\2019-4-11-23-37-18 354318.jpeg,0.0
dataset\2019-4-11-23-37-18 392360.jpeg,0.0
dataset\2019-4-11-23-37-18 420481.jpeg,0.0
dataset\2019-4-11-23-37-18 452182.jpeg,0.0
dataset\2019-4-11-23-37-18 487199.jpeg,0.0
dataset\2019-4-11-23-37-18 521647.jpeg,0.0
dataset\2019-4-11-23-37-18 557465.jpeg,0.0
dataset\2019-4-11-23-37-18 587410.jpeg,0.0
dataset\2019-4-11-23-37-18 621863.jpeg,0.0
dataset\2019-4-11-23-37-18 651993.jpeg,-0.05999999865889549
dataset\2019-4-11-23-37-18 685832.jpeg,-0.11999999731779099
dataset\2019-4-11-23-37-18 723558.jpeg,-0.18000000715255737
dataset\2019-4-11-23-37-18 755476.jpeg,-0.2199999988079071
dataset\2019-4-11-23-37-18 787935.jpeg,-0.2800000011920929
dataset\2019-4-11-23-37-18 825680.jpeg,-0.3400000035762787
dataset\2019-4-11-23-37-18 854759.jpeg,-0.4000000059604645
dataset\2019-4-11-23-37-18 895937.jpeg,-0.4399999976158142
dataset\2019-4-11-23-37-18 920957.jpeg,-0.5
dataset\2019-4-11-23-37-18 954794.jpeg,0.0
dataset\2019-4-11-23-37-18 988348.jpeg,0.0
dataset\2019-4-11-23-37-19 26358.jpeg,0.0
